task,model_name,group_field,group_value,n,accuracy,f1,precision,recall,false_positive_rate,false_negative_rate,leakage_rate,false_block_rate
sensitivity,pii_plus_reranker,financial_subtype,*,251,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,pii_plus_reranker,financial_subtype,bank_balance,25,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,pii_plus_reranker,financial_subtype,card_payment,23,0.8695652173913043,0.9302325581395349,1.0,0.8695652173913043,0.0,0.13043478260869565,,
sensitivity,pii_plus_reranker,financial_subtype,investment,22,0.5909090909090909,0.7428571428571429,1.0,0.5909090909090909,0.0,0.4090909090909091,,
sensitivity,pii_plus_reranker,financial_subtype,invoice_receipt,33,0.9696969696969697,0.9846153846153847,1.0,0.9696969696969697,0.0,0.030303030303030304,,
sensitivity,pii_plus_reranker,financial_subtype,loan_debt,22,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,pii_plus_reranker,financial_subtype,salary_income,19,0.8421052631578947,0.9142857142857143,1.0,0.8421052631578947,0.0,0.15789473684210525,,
sensitivity,pii_plus_reranker,financial_subtype,tax,36,0.9166666666666666,0.9565217391304348,1.0,0.9166666666666666,0.0,0.08333333333333333,,
sensitivity,pii_plus_reranker,financial_subtype,transaction,22,0.7272727272727273,0.8421052631578948,1.0,0.7272727272727273,0.0,0.2727272727272727,,
sensitivity,pii_plus_reranker,financial_subtype,wallet_payment,27,0.8888888888888888,0.9411764705882353,1.0,0.8888888888888888,0.0,0.1111111111111111,,
sensitivity,pii_plus_reranker,language,zh,6,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,pii_plus_reranker,language,zh_en,474,0.9409282700421941,0.9342723004694836,1.0,0.8766519823788547,0.0,0.12334801762114538,,
sensitivity,pii_plus_reranker,format,agent_summary,57,0.9298245614035088,0.9259259259259259,1.0,0.8620689655172413,0.0,0.13793103448275862,,
sensitivity,pii_plus_reranker,format,chat_transcript,65,0.9538461538461539,0.9454545454545454,1.0,0.896551724137931,0.0,0.10344827586206896,,
sensitivity,pii_plus_reranker,format,csv_row,74,0.9864864864864865,0.983050847457627,1.0,0.9666666666666667,0.0,0.03333333333333333,,
sensitivity,pii_plus_reranker,format,email_snippet,49,0.9387755102040817,0.9032258064516129,1.0,0.8235294117647058,0.0,0.17647058823529413,,
sensitivity,pii_plus_reranker,format,json,61,0.9016393442622951,0.90625,1.0,0.8285714285714286,0.0,0.17142857142857143,,
sensitivity,pii_plus_reranker,format,key_value,59,0.9491525423728814,0.9491525423728813,1.0,0.9032258064516129,0.0,0.0967741935483871,,
sensitivity,pii_plus_reranker,format,natural_sentence,56,0.8928571428571429,0.8750000000000001,1.0,0.7777777777777778,0.0,0.2222222222222222,,
sensitivity,pii_plus_reranker,format,spreadsheet_row,59,0.9661016949152542,0.9666666666666666,1.0,0.9354838709677419,0.0,0.06451612903225806,,
