task,model_name,group_field,group_value,n,accuracy,f1,precision,recall,false_positive_rate,false_negative_rate,leakage_rate,false_block_rate
sensitivity,centroid_query_similarity,financial_subtype,*,251,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,centroid_query_similarity,financial_subtype,bank_balance,25,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,centroid_query_similarity,financial_subtype,card_payment,23,0.8695652173913043,0.9302325581395349,1.0,0.8695652173913043,0.0,0.13043478260869565,,
sensitivity,centroid_query_similarity,financial_subtype,investment,22,0.36363636363636365,0.5333333333333333,1.0,0.36363636363636365,0.0,0.6363636363636364,,
sensitivity,centroid_query_similarity,financial_subtype,invoice_receipt,33,0.36363636363636365,0.5333333333333333,1.0,0.36363636363636365,0.0,0.6363636363636364,,
sensitivity,centroid_query_similarity,financial_subtype,loan_debt,22,0.5454545454545454,0.7058823529411764,1.0,0.5454545454545454,0.0,0.45454545454545453,,
sensitivity,centroid_query_similarity,financial_subtype,salary_income,19,0.8421052631578947,0.9142857142857143,1.0,0.8421052631578947,0.0,0.15789473684210525,,
sensitivity,centroid_query_similarity,financial_subtype,tax,36,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666666,0.0,0.8333333333333334,,
sensitivity,centroid_query_similarity,financial_subtype,transaction,22,0.5454545454545454,0.7058823529411764,1.0,0.5454545454545454,0.0,0.45454545454545453,,
sensitivity,centroid_query_similarity,financial_subtype,wallet_payment,27,0.7777777777777778,0.8750000000000001,1.0,0.7777777777777778,0.0,0.2222222222222222,,
sensitivity,centroid_query_similarity,language,zh,6,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,centroid_query_similarity,language,zh_en,474,0.7953586497890295,0.7282913165266106,1.0,0.5726872246696035,0.0,0.42731277533039647,,
sensitivity,centroid_query_similarity,format,agent_summary,57,0.7894736842105263,0.7391304347826086,1.0,0.5862068965517241,0.0,0.41379310344827586,,
sensitivity,centroid_query_similarity,format,chat_transcript,65,0.8307692307692308,0.7659574468085107,1.0,0.6206896551724138,0.0,0.3793103448275862,,
sensitivity,centroid_query_similarity,format,csv_row,74,0.8513513513513513,0.7755102040816326,1.0,0.6333333333333333,0.0,0.36666666666666664,,
sensitivity,centroid_query_similarity,format,email_snippet,49,0.7959183673469388,0.5833333333333334,1.0,0.4117647058823529,0.0,0.5882352941176471,,
sensitivity,centroid_query_similarity,format,json,61,0.6721311475409836,0.6,1.0,0.42857142857142855,0.0,0.5714285714285714,,
sensitivity,centroid_query_similarity,format,key_value,59,0.7966101694915254,0.76,1.0,0.6129032258064516,0.0,0.3870967741935484,,
sensitivity,centroid_query_similarity,format,natural_sentence,56,0.8571428571428571,0.8260869565217391,1.0,0.7037037037037037,0.0,0.2962962962962963,,
sensitivity,centroid_query_similarity,format,spreadsheet_row,59,0.7796610169491526,0.7346938775510204,1.0,0.5806451612903226,0.0,0.41935483870967744,,
sensitivity,centroid_query_similarity,style,agent_summary,44,0.75,0.5925925925925926,1.0,0.42105263157894735,0.0,0.5789473684210527,,
sensitivity,centroid_query_similarity,style,email_mixed,47,0.7872340425531915,0.7222222222222222,1.0,0.5652173913043478,0.0,0.43478260869565216,,
sensitivity,centroid_query_similarity,style,mainland_cn,54,0.8518518518518519,0.8181818181818181,1.0,0.6923076923076923,0.0,0.3076923076923077,,
sensitivity,centroid_query_similarity,style,mobile_terse,65,0.8,0.7547169811320755,1.0,0.6060606060606061,0.0,0.3939393939393939,,
sensitivity,centroid_query_similarity,style,ocr_fragment,56,0.8571428571428571,0.8095238095238095,1.0,0.68,0.0,0.32,,
sensitivity,centroid_query_similarity,style,sg_cn_codeswitch,61,0.7377049180327869,0.6363636363636364,1.0,0.4666666666666667,0.0,0.5333333333333333,,
sensitivity,centroid_query_similarity,style,zh_casual,53,0.7735849056603774,0.7000000000000001,1.0,0.5384615384615384,0.0,0.46153846153846156,,
sensitivity,centroid_query_similarity,style,zh_en_codeswitch,60,0.7833333333333333,0.7450980392156863,1.0,0.59375,0.0,0.40625,,
sensitivity,centroid_query_similarity,style,zh_formal,40,0.85,0.7499999999999999,1.0,0.6,0.0,0.4,,
sensitivity,centroid_query_similarity,original_label,benign,144,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,centroid_query_similarity,original_label,financial_private,229,0.5764192139737991,0.7313019390581718,1.0,0.5764192139737991,0.0,0.42358078602620086,,
sensitivity,centroid_query_similarity,original_label,non_private_financial,107,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,capid,financial_subtype,*,247,0.340080971659919,0.0,0.0,0.0,0.659919028340081,0.0,,
sensitivity,capid,financial_subtype,bank_balance,25,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,capid,financial_subtype,card_payment,21,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,capid,financial_subtype,investment,22,0.9545454545454546,0.9767441860465117,1.0,0.9545454545454546,0.0,0.045454545454545456,,
sensitivity,capid,financial_subtype,invoice_receipt,32,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,capid,financial_subtype,loan_debt,21,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,capid,financial_subtype,salary_income,19,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,capid,financial_subtype,tax,35,0.9714285714285714,0.9855072463768115,1.0,0.9714285714285714,0.0,0.02857142857142857,,
sensitivity,capid,financial_subtype,transaction,20,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,capid,financial_subtype,wallet_payment,25,1.0,1.0,1.0,1.0,0.0,0.0,,
sensitivity,capid,language,zh,6,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,0.0,,
sensitivity,capid,language,zh_en,461,0.6507592190889371,0.7284991568296797,0.576,0.9908256880733946,0.654320987654321,0.009174311926605505,,
sensitivity,capid,format,agent_summary,53,0.6415094339622641,0.732394366197183,0.5777777777777777,1.0,0.7037037037037037,0.0,,
sensitivity,capid,format,chat_transcript,64,0.578125,0.6746987951807228,0.509090909090909,1.0,0.75,0.0,,
sensitivity,capid,format,csv_row,72,0.6805555555555556,0.7088607594936709,0.56,0.9655172413793104,0.5116279069767442,0.034482758620689655,,
sensitivity,capid,format,email_snippet,49,0.6326530612244898,0.6538461538461539,0.4857142857142857,1.0,0.5625,0.0,,
sensitivity,capid,format,json,59,0.7966101694915254,0.85,0.7391304347826086,1.0,0.48,0.0,,
sensitivity,capid,format,key_value,58,0.6724137931034483,0.759493670886076,0.6122448979591837,1.0,0.6785714285714286,0.0,,
sensitivity,capid,format,natural_sentence,56,0.6428571428571429,0.7297297297297298,0.574468085106383,1.0,0.6896551724137931,0.0,,
sensitivity,capid,format,spreadsheet_row,56,0.5178571428571429,0.6746987951807228,0.5185185185185185,0.9655172413793104,0.9629629629629629,0.034482758620689655,,
sensitivity,capid,style,agent_summary,44,0.6363636363636364,0.6923076923076923,0.5454545454545454,0.9473684210526315,0.6,0.05263157894736842,,
sensitivity,capid,style,email_mixed,44,0.6136363636363636,0.711864406779661,0.5526315789473685,1.0,0.7391304347826086,0.0,,
sensitivity,capid,style,mainland_cn,52,0.7692307692307693,0.8,0.6666666666666666,1.0,0.42857142857142855,0.0,,
sensitivity,capid,style,mobile_terse,64,0.59375,0.7045454545454546,0.5535714285714286,0.96875,0.78125,0.03125,,
sensitivity,capid,style,ocr_fragment,54,0.5925925925925926,0.676470588235294,0.5111111111111111,1.0,0.7096774193548387,0.0,,
sensitivity,capid,style,sg_cn_codeswitch,60,0.65,0.7407407407407407,0.5882352941176471,1.0,0.7,0.0,,
sensitivity,capid,style,zh_casual,53,0.6226415094339622,0.7222222222222222,0.5652173913043478,1.0,0.7407407407407407,0.0,,
sensitivity,capid,style,zh_en_codeswitch,58,0.6724137931034483,0.759493670886076,0.6122448979591837,1.0,0.6785714285714286,0.0,,
sensitivity,capid,style,zh_formal,38,0.6842105263157895,0.7142857142857143,0.5555555555555556,1.0,0.5217391304347826,0.0,,
sensitivity,capid,original_label,benign,144,0.5277777777777778,0.0,0.0,0.0,0.4722222222222222,0.0,,
sensitivity,capid,original_label,financial_private,220,0.990909090909091,0.995433789954338,1.0,0.990909090909091,0.0,0.00909090909090909,,
sensitivity,capid,original_label,non_private_financial,103,0.07766990291262135,0.0,0.0,0.0,0.9223300970873787,0.0,,
sensitivity,openai_privacy_filter_plus_granite_guardian,financial_subtype,*,251,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,openai_privacy_filter_plus_granite_guardian,financial_subtype,bank_balance,25,0.56,0.717948717948718,1.0,0.56,0.0,0.44,,
sensitivity,openai_privacy_filter_plus_granite_guardian,financial_subtype,card_payment,23,0.5217391304347826,0.6857142857142856,1.0,0.5217391304347826,0.0,0.4782608695652174,,
sensitivity,openai_privacy_filter_plus_granite_guardian,financial_subtype,investment,22,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.0,0.7272727272727273,,
sensitivity,openai_privacy_filter_plus_granite_guardian,financial_subtype,invoice_receipt,33,0.3333333333333333,0.5,1.0,0.3333333333333333,0.0,0.6666666666666666,,
sensitivity,openai_privacy_filter_plus_granite_guardian,financial_subtype,loan_debt,22,0.5454545454545454,0.7058823529411764,1.0,0.5454545454545454,0.0,0.45454545454545453,,
sensitivity,openai_privacy_filter_plus_granite_guardian,financial_subtype,salary_income,19,0.42105263157894735,0.5925925925925926,1.0,0.42105263157894735,0.0,0.5789473684210527,,
sensitivity,openai_privacy_filter_plus_granite_guardian,financial_subtype,tax,36,0.08333333333333333,0.15384615384615385,1.0,0.08333333333333333,0.0,0.9166666666666666,,
sensitivity,openai_privacy_filter_plus_granite_guardian,financial_subtype,transaction,22,0.5,0.6666666666666666,1.0,0.5,0.0,0.5,,
sensitivity,openai_privacy_filter_plus_granite_guardian,financial_subtype,wallet_payment,27,0.1111111111111111,0.19999999999999998,1.0,0.1111111111111111,0.0,0.8888888888888888,,
sensitivity,openai_privacy_filter_plus_granite_guardian,language,zh,6,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,,
sensitivity,openai_privacy_filter_plus_granite_guardian,language,zh_en,474,0.689873417721519,0.5211726384364821,1.0,0.3524229074889868,0.0,0.6475770925110133,,
sensitivity,openai_privacy_filter_plus_granite_guardian,format,agent_summary,57,0.6842105263157895,0.5499999999999999,1.0,0.3793103448275862,0.0,0.6206896551724138,,
sensitivity,openai_privacy_filter_plus_granite_guardian,format,chat_transcript,65,0.7230769230769231,0.5499999999999999,1.0,0.3793103448275862,0.0,0.6206896551724138,,
sensitivity,openai_privacy_filter_plus_granite_guardian,format,csv_row,74,0.7027027027027027,0.4210526315789474,1.0,0.26666666666666666,0.0,0.7333333333333333,,
sensitivity,openai_privacy_filter_plus_granite_guardian,format,email_snippet,49,0.7755102040816326,0.5217391304347826,1.0,0.35294117647058826,0.0,0.6470588235294118,,
sensitivity,openai_privacy_filter_plus_granite_guardian,format,json,61,0.5409836065573771,0.33333333333333337,1.0,0.2,0.0,0.8,,
sensitivity,openai_privacy_filter_plus_granite_guardian,format,key_value,59,0.7457627118644068,0.6808510638297872,1.0,0.5161290322580645,0.0,0.4838709677419355,,
sensitivity,openai_privacy_filter_plus_granite_guardian,format,natural_sentence,56,0.6964285714285714,0.5405405405405406,1.0,0.37037037037037035,0.0,0.6296296296296297,,
sensitivity,openai_privacy_filter_plus_granite_guardian,format,spreadsheet_row,59,0.6610169491525424,0.5238095238095238,1.0,0.3548387096774194,0.0,0.6451612903225806,,
sensitivity,openai_privacy_filter_plus_granite_guardian,style,agent_summary,44,0.7045454545454546,0.4799999999999999,1.0,0.3157894736842105,0.0,0.6842105263157895,,
sensitivity,openai_privacy_filter_plus_granite_guardian,style,email_mixed,47,0.6382978723404256,0.41379310344827586,1.0,0.2608695652173913,0.0,0.7391304347826086,,
sensitivity,openai_privacy_filter_plus_granite_guardian,style,mainland_cn,54,0.7037037037037037,0.5555555555555556,1.0,0.38461538461538464,0.0,0.6153846153846154,,
sensitivity,openai_privacy_filter_plus_granite_guardian,style,mobile_terse,65,0.7076923076923077,0.5957446808510638,1.0,0.42424242424242425,0.0,0.5757575757575758,,
sensitivity,openai_privacy_filter_plus_granite_guardian,style,ocr_fragment,56,0.6607142857142857,0.3870967741935484,1.0,0.24,0.0,0.76,,
sensitivity,openai_privacy_filter_plus_granite_guardian,style,sg_cn_codeswitch,61,0.6557377049180327,0.4615384615384615,1.0,0.3,0.0,0.7,,
sensitivity,openai_privacy_filter_plus_granite_guardian,style,zh_casual,53,0.6981132075471698,0.5555555555555556,1.0,0.38461538461538464,0.0,0.6153846153846154,,
sensitivity,openai_privacy_filter_plus_granite_guardian,style,zh_en_codeswitch,60,0.7,0.6086956521739131,1.0,0.4375,0.0,0.5625,,
sensitivity,openai_privacy_filter_plus_granite_guardian,style,zh_formal,40,0.75,0.5,1.0,0.3333333333333333,0.0,0.6666666666666666,,
sensitivity,openai_privacy_filter_plus_granite_guardian,original_label,benign,144,1.0,0.0,0.0,0.0,0.0,0.0,,
sensitivity,openai_privacy_filter_plus_granite_guardian,original_label,financial_private,229,0.34934497816593885,0.517799352750809,1.0,0.34934497816593885,0.0,0.6506550218340611,,
